,agency
agency,1
/,0.427452404
non_ASCII,0.07679057
p,0.071574228
5,0.066955146
7,0.06326124
8,0.063058924
4,0.063024199
6,0.059461516
2,0.050637959
q,0.046133871
0,0.045796803
3,0.043856606
?,0.036429748
1,0.036062424
x,0.035700204
9,0.033666704
j,0.026580928
z,0.026483639
(,0.013027659
),0.013027659
%,0.012083707
$,0.005719357
c,0.003671794
+,0.001304573
nb_upper,-0.00018838
nb_len_20,-0.00252853
!,-0.00837413
=,-0.009223968
nb_len_19,-0.011711708
t,-0.014194025
@,-0.014974566
nb_len_17,-0.015206432
nb_len_18,-0.015429725
&,-0.016639572
k,-0.017254001
nb_len_16,-0.025544921
v,-0.029824041
nb_len_11,-0.030734776
nb_len_13,-0.031421082
nb_len_15,-0.032544105
nb_len_14,-0.033824777
nb_len_7,-0.034803156
w,-0.035923062
mixed_upper_lower_not_capitalized,-0.037771035
b,-0.038142195
nb_len_9,-0.042814906
s,-0.04294293
u,-0.044246729
f,-0.045428026
-,-0.046221552
nb_len_5,-0.047831402
nb_len_12,-0.049912006
nb_len_8,-0.051749845
#,-0.053054422
characters per tweet,-0.059192856
m,-0.059507526
nb_len_10,-0.060676506
y,-0.063253328
nb_capitalized,-0.063783249
l,-0.06575267
o,-0.067901913
g,-0.067991446
h,-0.070428979
nb_len_1,-0.070924573
nb_len_6,-0.071216522
d,-0.076998865
r,-0.077807295
nb_len_2,-0.098344724
nb_len_4,-0.104173795
a,-0.10508864
e,-0.109071258
i,-0.111736572
words per tweet,-0.11644083
n,-0.118214993
nb_len_3,-0.127761057
nb_lower,-0.131580741